	year	month	     dyear	        T1	        T2	        T3	        O1	        O2	        O3
	1993	    5	  1993.800	   -68.058	   -76.434	   -79.884	      45.6	     107.9	      63.2
	1993	    6	  1993.833	   -72.374	   -83.133	   -87.012	      47.7	     110.6	      62.5
	1993	    7	  1993.857	   -79.665	   -88.788	   -90.504	      47.2	     108.1	      56.4
	1993	    8	  1993.875	   -80.126	   -88.837	   -88.596	      43.9	      95.4	      54.3
	1993	    9	  1993.889	   -82.407	   -87.090	   -82.743	      23.2	      53.0	      42.5
	1993	   10	  1993.900	   -78.065	   -78.632	   -61.033	       9.3	       4.9	      33.6
	1993	   11	  1993.909	   -70.768	   -61.909	   -35.371	      12.8	      19.4	      55.6
	1993	   12	  1993.917	   -49.946	   -35.822	   -29.616	      25.3	      72.5	      80.2
	1994	    1	  1994.000	   -45.007	   -38.715	   -34.715	      35.0	      72.6	      66.7
	1994	    2	  1994.500	   -44.533	   -41.986	   -40.765	      39.1	      77.2	      66.0
	1994	    3	  1994.667	   -48.821	   -49.774	   -51.481	      40.1	      77.9	      46.0
	1994	    4	  1994.750	   -56.837	   -62.541	   -67.208	      38.0	      77.7	      55.4
	1994	    5	  1994.800	   -64.892	   -72.882	   -77.413	      47.1	     100.4	      49.1
	1994	    6	  1994.833	   -71.397	   -81.148	   -84.740	      47.1	     100.1	      51.5
	1994	    7	  1994.857	   -75.601	   -87.193	   -91.365	      45.3	      89.9	      57.8
	1994	    8	  1994.875	   -81.989	   -89.652	   -89.561	      42.1	      91.0	      58.4
	1994	    9	  1994.889	   -80.011	   -86.301	   -81.444	      34.3	      40.5	      41.3
	1994	   10	  1994.900	   -76.467	   -77.115	   -60.429	      16.5	       7.3	      37.9
	1994	   11	  1994.909	   -60.852	   -49.106	   -29.599	      22.8	      36.3	      79.7
	1994	   12	  1994.917	   -43.672	   -34.396	   -30.642	      35.3	      87.5	      80.7
	1995	    1	  1995.000	   -38.289	   -33.093	   -28.292	      39.4	      75.8	      73.0
	1995	    2	  1995.500	   -45.160	   -43.302	   -39.560	      43.1	      81.5	      71.1
	1995	    3	  1995.667	   -48.240	   -50.481	   -51.973	      50.0	      85.4	      63.9
	1995	    4	  1995.750	   -55.817	   -61.569	   -65.600	      48.5	      95.5	      61.5
	1995	    5	  1995.800	   -65.073	   -75.039	   -79.756	      47.7	     100.3	      55.5
	1995	    6	  1995.833	   -74.181	   -83.779	   -87.180	      48.5	     105.2	      52.9
	1995	    7	  1995.857	   -76.198	   -86.809	   -89.918	      43.9	     100.9	      57.0
	1995	    8	  1995.875	   -79.857	   -87.958	   -88.960	      43.5	      85.9	      53.5
	1995	    9	  1995.889	   -80.121	   -85.822	   -81.434	      33.8	      48.0	      45.1
	1995	   10	  1995.900	   -77.468	   -79.898	   -64.480	      19.8	       7.7	      34.0
	1995	   11	  1995.909	   -71.432	   -64.120	   -39.172	      19.7	      17.8	      56.9
	1995	   12	  1995.917	   -56.135	   -42.014	   -29.022	      25.4	      45.8	      79.8
	1996	    1	  1996.000	   -46.447	   -38.982	   -34.580	      30.5	      70.7	      69.6
	1996	    2	  1996.500	   -46.699	   -43.422	   -41.867	      40.1	      72.6	      67.8
	1996	    3	  1996.667	   -49.346	   -50.548	   -50.058	      43.0	      80.0	      70.5
	1996	    4	  1996.750	   -56.681	   -64.539	   -69.036	      40.1	      85.3	      58.8
	1996	    5	  1996.800	   -65.977	   -76.033	   -82.300	      46.9	      89.5	      52.2
	1996	    6	  1996.833	   -73.777	   -84.753	   -89.535	      41.5	      96.0	      49.1
	1996	    7	  1996.857	   -78.743	   -88.548	   -89.333	      44.2	      98.3	      47.9
	1996	    8	  1996.875	   -81.353	   -89.734	   -89.611	      32.0	      77.2	      48.9
	1996	    9	  1996.889	   -78.224	   -84.870	   -79.976	      30.8	      26.6	      31.5
	1996	   10	  1996.900	   -77.062	   -80.695	   -65.790	      23.9	       4.9	      33.0
	1996	   11	  1996.909	   -70.430	   -68.591	   -45.159	      26.4	      15.1	      49.2
	1996	   12	  1996.917	   -55.248	   -46.945	   -34.350	      31.9	      57.1	      73.5
	1997	    1	  1997.000	   -42.738	   -38.192	   -35.408	      39.7	      76.2	      67.4
	1997	    2	  1997.500	   -43.790	   -42.105	   -41.576	      45.6	      80.4	      60.5
	1997	    3	  1997.667	   -47.874	   -49.123	   -50.599	      48.8	      87.5	      55.4
	1997	    4	  1997.750	   -56.006	   -60.702	   -63.561	      49.2	      87.5	      59.0
	1997	    5	  1997.800	   -64.466	   -73.221	   -77.354	      46.2	      97.4	      47.5
	1997	    6	  1997.833	   -71.084	   -82.536	   -85.915	      52.6	     102.5	      52.2
	1997	    7	  1997.857	   -76.642	   -86.827	   -89.490	      51.7	     100.6	      57.5
	1997	    8	  1997.875	   -80.910	   -88.002	   -87.382	      44.4	      89.1	      58.8
	1997	    9	  1997.889	   -79.598	   -86.365	   -82.859	      35.3	      42.5	      43.0
	1997	   10	  1997.900	   -76.801	   -81.381	   -65.810	      20.6	       5.7	      37.9
	1997	   11	  1997.909	   -67.992	   -62.769	   -37.316	      22.5	      16.7	      59.9
	1997	   12	  1997.917	   -49.469	   -40.630	   -34.472	      31.2	      68.9	      72.7
	1998	    1	  1998.000	   -46.359	   -41.047	   -37.953	      37.5	      72.7	      62.6
	1998	    2	  1998.500	   -45.789	   -43.987	   -42.442	      36.0	      72.1	      69.6
	1998	    3	  1998.667	   -49.453	   -49.793	   -50.880	      44.0	      80.8	      59.8
	1998	    4	  1998.750	   -57.064	   -62.865	   -69.006	      52.3	      93.8	      53.6
	1998	    5	  1998.800	   -67.179	   -74.876	   -81.243	      45.5	      93.4	      53.0
	1998	    6	  1998.833	   -72.613	   -81.253	   -85.979	      44.1	      97.9	      53.5
	1998	    7	  1998.857	   -78.787	   -88.138	   -91.241	      50.2	      94.9	      50.3
	1998	    8	  1998.875	   -79.869	   -89.229	   -90.253	      49.1	      82.8	      48.8
	1998	    9	  1998.889	   -80.942	   -87.997	   -85.376	      34.8	      46.1	      35.4
	1998	   10	  1998.900	   -79.475	   -84.336	   -70.458	      19.7	       1.4	      24.9
	1998	   11	  1998.909	   -72.098	   -68.271	   -42.020	      21.1	      11.6	      44.0
	1998	   12	  1998.917	   -59.505	   -48.021	   -33.381	      23.5	      41.8	      72.8
	1999	    1	  1999.000	   -49.121	   -41.407	   -36.627	      31.6	      68.3	      66.0
	1999	    2	  1999.500	   -45.834	   -43.119	   -41.278	      36.5	      68.8	      53.9
	1999	    3	  1999.667	   -48.901	   -50.605	   -51.087	      40.1	      74.2	      64.5
	1999	    4	  1999.750	   -56.444	   -62.769	   -66.383	      51.0	      82.4	      53.7
	1999	    5	  1999.800	   -65.899	   -74.798	   -78.528	      50.2	      98.4	      50.2
	1999	    6	  1999.833	   -74.579	   -85.161	   -89.818	      38.4	      89.8	      51.6
	1999	    7	  1999.857	   -79.685	   -90.131	   -92.871	      42.5	      89.2	      48.5
	1999	    8	  1999.875	   -82.648	   -90.540	   -91.552	      35.4	      83.4	      48.2
	1999	    9	  1999.889	   -79.698	   -87.282	   -83.149	      28.8	      31.3	      32.4
	1999	   10	  1999.900	   -77.723	   -81.712	   -67.891	      19.1	       4.4	      27.8
	1999	   11	  1999.909	   -72.042	   -68.495	   -44.721	      22.2	      14.2	      41.1
	1999	   12	  1999.917	   -60.854	   -47.340	   -29.944	      22.0	      37.9	      71.1
	2000	    1	  2000.000	   -48.671	   -39.282	   -32.918	      27.2	      60.9	      72.0
	2000	    2	  2000.500	   -44.971	   -42.561	   -40.800	      33.2	      69.5	      64.6
	2000	    3	  2000.667	   -49.668	   -50.568	   -52.555	      42.3	      76.9	      58.1
	2000	    4	  2000.750	   -58.255	   -64.194	   -68.566	      43.7	      86.5	      51.3
	2000	    5	  2000.800	   -67.370	   -77.303	   -82.235	      40.6	      87.8	      47.8
	2000	    6	  2000.833	   -73.667	   -84.950	   -90.056	      39.1	      87.4	      47.5
	2000	    7	  2000.857	   -78.046	   -88.087	   -89.978	      43.6	      94.3	      46.9
	2000	    8	  2000.875	   -80.057	   -89.175	   -89.963	      39.7	      73.1	      46.9
	2000	    9	  2000.889	   -78.106	   -84.957	   -80.982	      26.2	      16.7	      27.6
	2000	   10	  2000.900	   -75.336	   -74.950	   -54.887	      18.0	       4.7	      35.9
	2000	   11	  2000.909	   -60.259	   -44.583	   -29.308	      20.2	      39.6	      88.3
	2000	   12	  2000.917	   -44.792	   -39.349	   -35.410	      37.3	      78.3	      70.2
	2001	    1	  2001.000	   -44.630	   -39.602	   -37.144	      37.4	      71.1	      55.9
	2001	    2	  2001.500	   -46.011	   -44.178	   -43.891	      37.2	      67.9	      49.6
	2001	    3	  2001.667	   -49.481	   -50.617	   -52.844	      36.9	      74.8	      59.3
	2001	    4	  2001.750	   -56.716	   -63.015	   -69.578	      43.2	      80.9	      42.8
	2001	    5	  2001.800	   -65.671	   -74.361	   -79.592	      40.6	      86.6	      49.7
	2001	    6	  2001.833	   -70.829	   -81.287	   -85.821	      44.9	      88.5	      46.8
	2001	    7	  2001.857	   -76.312	   -86.255	   -88.418	      51.4	      91.4	      50.2
	2001	    8	  2001.875	   -80.068	   -87.954	   -85.747	      42.9	      75.2	      47.2
	2001	    9	  2001.889	   -80.694	   -85.634	   -79.233	      25.5	      22.0	      34.6
	2001	   10	  2001.900	   -78.434	   -80.784	   -63.646	      15.2	       3.1	      36.1
	2001	   11	  2001.909	   -73.557	   -69.445	   -44.661	      16.4	      15.4	      46.4
	2001	   12	  2001.917	   -60.973	   -47.201	   -31.172	      21.1	      44.5	      71.7
	2002	    1	  2002.000	   -46.603	   -41.173	   -35.449	      29.9	      65.5	      68.8
	2002	    2	  2002.500	   -45.700	   -42.255	   -40.272	      34.3	      74.2	      63.4
	2002	    3	  2002.667	   -49.384	   -50.990	   -52.772	      35.5	      75.6	      62.1
	2002	    4	  2002.750	   -58.439	   -63.973	   -72.192	      32.9	      77.2	      54.6
	2002	    5	  2002.800	   -63.805	   -73.206	   -79.712	      40.4	      88.8	      56.7
	2002	    6	  2002.833	   -69.816	   -81.264	   -85.637	      43.3	      92.7	      51.9
	2002	    7	  2002.857	   -78.113	   -87.429	   -90.448	      48.4	     100.5	      52.1
	2002	    8	  2002.875	   -79.093	   -86.401	   -85.013	      52.8	      96.9	      48.5
	2002	    9	  2002.889	   -73.331	   -72.118	   -64.058	      35.4	      58.6	      54.1
	2002	   10	  2002.900	   -67.849	   -65.488	   -50.301	      35.3	      27.1	      52.2
	2002	   11	  2002.909	   -47.385	   -40.197	   -37.940	      40.2	      89.3	      88.8
	2002	   12	  2002.917	   -44.609	   -39.876	   -37.101	      43.7	      81.0	      67.0
	2003	    1	  2003.000	   -44.708	   -41.087	   -39.179	      41.2	      72.8	      60.2
	2003	    2	  2003.500	   -45.431	   -45.274	   -45.356	      40.4	      68.6	      49.7
	2003	    3	  2003.667	   -47.974	   -50.696	   -53.968	      43.6	      77.8	      54.0
	2003	    4	  2003.750	   -55.868	   -62.302	   -67.112	      46.8	      83.2	      49.8
	2003	    5	  2003.800	   -68.479	   -76.616	   -81.650	      39.8	      89.3	      49.2
	2003	    6	  2003.833	   -70.872	   -81.509	   -86.690	      43.5	      83.8	      48.2
	2003	    7	  2003.857	   -79.090	   -89.696	   -92.607	      48.7	      88.7	      52.5
	2003	    8	  2003.875	   -81.596	   -90.068	   -89.275	      43.0	      82.0	      50.6
	2003	    9	  2003.889	   -80.911	   -86.357	   -80.208	      32.8	      36.1	      40.8
	2003	   10	  2003.900	   -75.828	   -75.083	   -52.954	      19.7	       6.1	      40.9
	2003	   11	  2003.909	   -63.937	   -52.379	   -31.576	      21.5	      23.8	      72.9
	2003	   12	  2003.917	   -50.518	   -41.539	   -36.283	      32.0	      65.9	      68.9
	2004	    1	  2004.000	   -46.711	   -41.284	   -38.112	      34.0	      70.2	      55.4
	2004	    2	  2004.500	   -45.224	   -43.419	   -42.523	      39.1	      72.9	      62.0
	2004	    3	  2004.667	   -47.395	   -49.035	   -50.174	      41.6	      77.6	      62.8
	2004	    4	  2004.750	   -56.703	   -60.828	   -67.818	      41.6	      83.0	      58.9
	2004	    5	  2004.800	   -67.020	   -75.923	   -80.461	      40.9	      87.7	      53.1
	2004	    6	  2004.833	   -71.794	   -82.316	   -85.498	      49.5	      95.7	      51.2
	2004	    7	  2004.857	   -76.734	   -86.705	   -88.483	      59.3	      99.3	      52.1
	2004	    8	  2004.875	   -80.965	   -87.474	   -82.627	      50.5	      88.1	      54.3
	2004	    9	  2004.889	   -80.037	   -83.971	   -76.515	      29.6	      33.3	      44.5
	2004	   10	  2004.900	   -73.829	   -71.841	   -51.450	      19.9	      13.4	      51.1
	2004	   11	  2004.909	   -64.418	   -56.844	   -40.273	      26.0	      35.3	      62.8
	2004	   12	  2004.917	   -47.851	   -40.301	   -34.904	      37.6	      81.2	      80.8
	2005	    1	  2005.000	   -45.358	   -41.168	   -38.043	      36.3	      68.3	      61.6
	2005	    2	  2005.500	   -46.275	   -44.255	   -44.131	      37.0	      73.2	      48.1
	2005	    3	  2005.667	   -50.327	   -51.608	   -53.280	      36.3	      78.5	      50.2
	2005	    4	  2005.750	   -57.895	   -62.627	   -66.577	      46.6	      90.5	      48.9
	2005	    5	  2005.800	   -65.695	   -76.051	   -80.175	      56.9	      93.7	      52.1
	2005	    6	  2005.833	   -71.033	   -81.361	   -85.527	      56.8	      98.2	      51.5
	2005	    7	  2005.857	   -78.362	   -88.160	   -90.451	      45.0	      91.2	      53.5
	2005	    8	  2005.875	   -80.542	   -88.554	   -87.912	      45.7	      83.5	      53.9
	2005	    9	  2005.889	   -79.356	   -85.847	   -79.796	      29.5	      26.7	      32.3
	2005	   10	  2005.900	   -74.173	   -75.806	   -55.832	      23.6	       6.3	      36.9
	2005	   11	  2005.909	   -61.715	   -50.481	   -33.445	      24.2	      35.6	      69.6
	2005	   12	  2005.917	   -54.681	   -44.468	   -34.826	      27.2	      49.8	      66.1
	2006	    1	  2006.000	   -43.660	   -39.732	   -37.881	      37.1	      73.8	      57.0
	2006	    2	  2006.500	   -45.642	   -43.440	   -42.279	      37.8	      72.3	      61.7
	2006	    3	  2006.667	   -48.286	   -48.658	   -50.175	      43.2	      81.5	      61.7
	2006	    4	  2006.750	   -56.586	   -61.328	   -66.587	      45.9	      90.5	      57.0
	2006	    5	  2006.800	   -64.153	   -73.698	   -77.435	      53.7	      97.1	      53.0
	2006	    6	  2006.833	   -71.007	   -81.614	   -86.366	      47.9	      94.4	      59.6
	2006	    7	  2006.857	   -77.267	   -86.521	   -86.747	      63.1	     102.7	      57.4
	2006	    8	  2006.875	   -80.158	   -88.653	   -89.312	      37.6	      80.3	      54.5
	2006	    9	  2006.889	   -80.938	   -87.480	   -85.168	      25.9	      29.9	      34.0
	2006	   10	  2006.900	   -76.589	   -82.299	   -68.829	      15.1	       3.6	      28.8
	2006	   11	  2006.909	   -72.601	   -70.469	   -46.966	      18.1	      13.1	      43.8
	2006	   12	  2006.917	   -53.269	   -38.941	   -30.210	      21.8	      58.6	      87.4
	2007	    1	  2007.000	   -48.507	   -41.134	   -35.508	      27.6	      66.3	      74.4
	2007	    2	  2007.500	   -44.157	   -41.764	   -40.147	      39.0	      75.3	      73.7
	2007	    3	  2007.667	   -47.214	   -49.198	   -49.902	      38.8	      74.9	      72.2
	2007	    4	  2007.750	   -54.842	   -61.593	   -67.745	      40.0	      94.5	      61.3
	2007	    5	  2007.800	   -64.181	   -73.965	   -82.133	      36.2	      90.0	      55.2
	2007	    6	  2007.833	   -72.162	   -82.542	   -89.158	      39.5	      95.7	      51.4
	2007	    7	  2007.857	   -77.085	   -87.278	   -90.663	      37.8	      89.7	      48.8
	2007	    8	  2007.875	   -79.713	   -89.227	   -90.761	      40.4	      91.0	      44.0
	2007	    9	  2007.889	   -80.567	   -85.562	   -78.183	      28.5	      34.9	      30.4
	2007	   10	  2007.900	   -74.726	   -74.291	   -52.409	      21.9	       7.4	      38.9
	2007	   11	  2007.909	   -68.465	   -64.827	   -44.364	      25.5	      14.6	      43.3
	2007	   12	  2007.917	   -56.863	   -46.870	   -31.276	      29.8	      36.4	      67.4
	2008	    1	  2008.000	   -44.829	   -39.739	   -36.604	      38.1	      75.3	      70.0
	2008	    2	  2008.500	   -44.155	   -42.461	   -40.894	      39.5	      75.4	      69.7
	2008	    3	  2008.667	   -49.532	   -52.189	   -53.866	      42.9	      87.7	      64.6
	2008	    4	  2008.750	   -56.778	   -64.165	   -69.535	      35.9	      79.9	      62.5
	2008	    5	  2008.800	   -64.543	   -75.145	   -81.106	      35.4	      87.2	      60.3
	2008	    6	  2008.833	   -74.694	   -84.885	   -89.088	      39.4	      91.0	      54.2
	2008	    7	  2008.857	   -77.874	   -89.182	   -91.723	      45.0	      98.2	      53.3
	2008	    8	  2008.875	   -80.905	   -89.261	   -90.247	      42.6	      93.4	      51.2
	2008	    9	  2008.889	   -81.245	   -86.444	   -80.990	      27.7	      34.5	      35.6
	2008	   10	  2008.900	   -77.403	   -77.597	   -57.802	      18.0	       6.9	      38.0
	2008	   11	  2008.909	   -70.684	   -66.580	   -44.464	      23.9	      15.6	      45.4
	2008	   12	  2008.917	   -58.048	   -46.074	   -31.024	      27.4	      43.9	      75.3
	2009	    1	  2009.000	   -45.885	   -39.229	   -36.081	      32.9	      71.8	      70.2
	2009	    2	  2009.500	   -43.989	   -43.178	   -42.206	      37.1	      71.4	      61.9
	2009	    3	  2009.667	   -47.150	   -49.700	   -52.416	      38.2	      79.3	      54.6
	2009	    4	  2009.750	   -57.100	   -63.165	   -73.936	      36.3	      83.6	      40.4
	2009	    5	  2009.800	   -64.950	   -74.671	   -81.527	      40.0	      87.4	      43.8
	2009	    6	  2009.833	   -72.729	   -82.936	   -88.775	      38.7	      88.6	      45.7
	2009	    7	  2009.857	   -74.030	   -86.560	   -91.672	      44.2	      86.1	      46.3
	2009	    8	  2009.875	   -79.240	   -88.376	   -90.527	      41.5	      76.0	      46.9
	2009	    9	  2009.889	   -81.295	   -87.320	   -83.582	      29.9	      32.3	      30.1
	2009	   10	  2009.900	   -75.088	   -77.226	   -56.362	      26.0	       5.5	      36.3
	2009	   11	  2009.909	   -67.632	   -61.901	   -37.893	      25.8	      14.2	      56.4
	2009	   12	  2009.917	   -49.798	   -38.949	   -30.617	      29.5	      64.5	      79.0
	2010	    1	  2010.000	   -44.065	   -39.761	   -37.180	      39.4	      72.1	      66.3
	2010	    2	  2010.500	   -45.359	   -42.357	   -42.397	      40.5	      76.0	      52.8
	2010	    3	  2010.667	   -49.334	   -50.383	   -51.883	      39.3	      78.3	      59.4
	2010	    4	  2010.750	   -57.137	   -63.254	   -68.885	      45.2	      88.5	      50.6
	2010	    5	  2010.800	   -69.764	   -78.108	   -82.459	      37.5	      87.1	      44.7
	2010	    6	  2010.833	   -75.216	   -85.286	   -88.636	      47.2	      95.6	      45.8
	2010	    7	  2010.857	   -80.817	   -88.425	   -87.529	      55.6	     100.8	      47.9
	2010	    8	  2010.875	   -81.942	   -88.912	   -85.576	      49.1	      94.2	      53.6
	2010	    9	  2010.889	   -78.716	   -84.540	   -78.485	      35.1	      40.4	      45.3
	2010	   10	  2010.900	   -77.251	   -79.238	   -62.770	      19.0	       8.1	      44.3
	2010	   11	  2010.909	   -72.713	   -67.220	   -47.070	      20.0	      20.8	      45.1
	2010	   12	  2010.917	   -58.854	   -50.028	   -35.788	      26.9	      49.3	      66.5
	2011	    1	  2011.000	   -46.172	   -40.663	   -36.484	      33.8	      72.2	      64.3
	2011	    2	  2011.500	   -45.767	   -42.996	   -41.540	      36.9	      70.9	      58.8
	2011	    3	  2011.667	   -47.007	   -48.502	   -49.575	      40.8	      77.9	      59.5
	2011	    4	  2011.750	   -56.880	   -62.733	   -67.541	      43.8	      86.5	      54.0
	2011	    5	  2011.800	   -67.377	   -76.947	   -82.956	      42.1	      93.4	      52.9
	2011	    6	  2011.833	   -74.881	   -84.651	   -90.197	      43.5	      99.7	      53.8
	2011	    7	  2011.857	   -77.054	   -89.106	   -91.979	      40.8	      94.6	      52.5
	2011	    8	  2011.875	   -79.195	   -89.772	   -91.605	      35.5	      77.7	      52.2
	2011	    9	  2011.889	   -79.032	   -87.047	   -85.466	      29.1	      39.9	      33.9
	2011	   10	  2011.900	   -76.562	   -81.176	   -69.893	      19.4	       8.4	      25.3
	2011	   11	  2011.909	   -68.985	   -66.735	   -44.646	      24.2	      22.1	      48.6
	2011	   12	  2011.917	   -58.524	   -45.679	   -30.169	      23.7	      41.3	      80.2
	2012	    1	  2012.000	   -45.129	   -39.090	   -33.959	      35.1	      71.6	      74.9
	2012	    2	  2012.500	   -44.423	   -41.918	   -40.033	      38.8	      73.2	      70.1
	2012	    3	  2012.667	   -48.905	   -50.466	   -53.073	      36.0	      78.7	      64.9
	2012	    4	  2012.750	   -56.087	   -63.203	   -69.817	      46.6	      92.1	      60.9
	2012	    5	  2012.800	   -67.113	   -76.058	   -82.496	      40.4	      95.4	      57.3
	2012	    6	  2012.833	   -70.783	   -82.375	   -86.011	      54.3	     104.8	      50.2
	2012	    7	  2012.857	   -78.254	   -88.041	   -89.639	      46.4	     104.1	      51.8
	2012	    8	  2012.875	   -80.918	   -88.945	   -88.113	      53.7	     103.4	      51.5
	2012	    9	  2012.889	   -80.777	   -84.781	   -76.918	      29.6	      46.5	      42.2
	2012	   10	  2012.900	   -72.498	   -66.291	   -42.837	      23.3	      18.9	      59.6
	2012	   11	  2012.909	   -56.429	   -45.220	   -33.986	      31.5	      65.6	      82.2
	2012	   12	  2012.917	   -43.128	   -39.150	   -37.211	      39.1	      77.5	      68.1
	2013	    1	  2013.000	   -41.948	   -39.163	   -37.977	      38.5	      72.1	      57.5
	2013	    2	  2013.500	   -44.805	   -42.998	   -40.789	      37.9	      75.7	      67.2
	2013	    3	  2013.667	   -48.007	   -49.361	   -51.416	      43.8	      74.4	      56.5
	2013	    4	  2013.750	   -60.706	   -69.346	   -73.200	      51.7	      96.8	      51.5
	2013	    5	  2013.800	   -66.641	   -76.866	   -81.753	      47.4	      91.4	      51.0
	2013	    6	  2013.833	   -73.690	   -84.540	   -88.519	      44.5	      95.5	      52.6
	2013	    7	  2013.857	   -78.372	   -89.373	   -92.945	      40.9	      89.7	      45.8
	2013	    8	  2013.875	   -81.911	   -90.173	   -90.607	      37.3	      80.5	      53.0
	2013	    9	  2013.889	   -79.474	   -84.716	   -78.699	      28.5	      32.2	      33.2
	2013	   10	  2013.900	   -73.627	   -71.979	   -51.023	      26.4	      15.4	      48.2
	2013	   11	  2013.909	   -59.772	   -47.512	   -31.443	      30.3	      44.7	      83.1
	2013	   12	  2013.917	   -42.535	   -38.119	   -35.566	      39.1	      79.5	      73.9
	2014	    1	  2014.000	   -42.996	   -39.860	   -36.290	      41.7	      71.3	      71.2
	2014	    2	  2014.500	   -45.125	   -42.525	   -41.210	      42.3	      78.7	      66.3
	2014	    3	  2014.667	   -49.317	   -50.207	   -52.399	      54.5	      94.4	      62.6
	2014	    4	  2014.750	   -60.242	   -65.026	   -68.810	      48.0	     100.3	      55.9
	2014	    5	  2014.800	   -65.397	   -75.160	   -80.763	      41.0	      95.9	      60.1
	2014	    6	  2014.833	   -76.701	   -86.435	   -90.261	      42.1	      98.0	      54.9
	2014	    7	  2014.857	   -78.502	   -88.152	   -89.756	      48.2	     108.8	      56.8
	2014	    8	  2014.875	   -82.110	   -89.509	   -88.877	      46.1	     106.5	      58.1
	2014	    9	  2014.889	   -79.448	   -85.529	   -80.665	      32.0	      45.8	      38.0
	2014	   10	  2014.900	   -73.402	   -74.691	   -56.324	      27.3	      14.3	      39.4
	2014	   11	  2014.909	   -64.303	   -55.605	   -34.938	      32.3	      28.8	      68.7
	2014	   12	  2014.917	   -52.231	   -40.633	   -31.262	      36.5	      59.2	      83.8
	2015	    1	  2015.000	   -43.989	   -39.096	   -36.659	      42.2	      79.8	      67.0
	2015	    2	  2015.500	   -45.077	   -42.488	   -41.913	      41.4	      72.2	      59.6
	2015	    3	  2015.667	   -46.248	   -48.204	   -49.438	      42.0	      79.7	      51.3
	2015	    4	  2015.750	   -60.838	   -63.228	   -62.486	      47.9	      88.0	      45.0
	2015	    5	  2015.800	   -65.990	   -75.896	   -80.317	      42.8	      87.0	      49.5
	2015	    6	  2015.833	   -72.456	   -83.024	   -84.966	      45.8	      93.5	      47.1
	2015	    7	  2015.857	   -80.762	   -89.993	   -91.203	      45.4	      92.2	      50.3
	2015	    8	  2015.875	   -81.800	   -89.439	   -87.605	      45.7	      86.3	      53.0
	2015	    9	  2015.889	   -81.206	   -85.882	   -79.118	      33.1	      40.5	      44.7
	2015	   10	  2015.900	   -78.235	   -82.458	   -67.920	      14.6	       5.3	      37.9
	2015	   11	  2015.909	   -73.578	   -69.803	   -46.616	      15.2	      13.7	      42.6
	2015	   12	  2015.917	   -58.455	   -47.593	   -34.509	      18.9	      45.0	      68.6
