	year	month	day	        T1	        T2	        T3	        O1	        O2	        O3
	1993	   11	 19	   -72.922	   -63.302	   -38.566	      12.9	      13.2	      47.3
	1993	   11	 22	   -65.974	   -52.896	   -24.734	      14.1	      23.6	      71.3
	1993	   11	 30	   -62.328	   -47.128	   -24.679	      18.2	      30.1	      69.9
	1993	   12	  8	   -50.628	   -33.582	   -28.406	      26.2	      92.6	      88.2
	1993	   12	 15	   -51.092	   -34.126	   -27.642	      18.8	      58.1	      79.5
	1993	   12	 23	   -48.880	   -36.976	   -30.566	      26.4	      82.1	      77.5
	1993	   12	 31	   -49.184	   -38.604	   -31.850	      29.9	      57.4	      75.5
	1994	    1	  6	   -44.792	   -38.688	   -33.634	      32.3	      74.3	      76.1
	1994	    1	 16	   -46.166	   -38.220	   -33.434	      34.0	      68.0	      67.0
	1994	    1	 23	   -44.856	   -38.762	   -35.160	      37.1	      75.0	      62.7
	1994	    1	 31	   -44.212	   -39.190	   -36.632	      36.8	      72.9	      60.8
	1994	    2	  9	   -44.918	   -41.748	   -40.144	      37.3	      74.0	      67.7
	1994	    2	 18	   -44.148	   -42.224	   -41.386	      41.0	      80.3	      64.2
	1994	    3	  3	   -45.350	   -45.238	   -45.940	      48.2	      76.4	      47.9
	1994	    3	 12	   -48.688	   -48.282	   -49.543	      34.2	      76.2	      51.0
	1994	    3	 25	   -50.772	   -52.022	   -53.202	      32.9	      74.6	      39.0
	1994	    3	 31	   -50.472	   -53.554	   -57.239	      45.2	      84.3	       NaN
	1994	    4	  4	   -54.648	   -57.700	   -61.092	      37.1	      74.5	      60.6
	1994	    4	 12	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1994	    4	 16	   -56.892	   -64.198	   -68.552	      40.0	      81.3	      50.6
	1994	    4	 25	   -58.970	   -65.724	   -71.980	      36.8	      77.3	      54.9
	1994	    5	  2	   -62.482	   -70.140	   -74.376	      43.8	     103.1	      48.9
	1994	    5	 10	   -65.452	   -73.112	   -77.868	      47.1	      95.7	      53.0
	1994	    5	 19	   -66.518	   -75.393	   -79.996	      48.7	     102.4	      45.3
	1994	    5	 31	   -65.118	       NaN	       NaN	      48.6	       NaN	       NaN
	1994	    6	  2	   -67.728	   -77.514	   -79.604	      39.5	     100.6	      47.6
	1994	    6	 11	   -71.498	   -81.074	   -83.974	      56.2	     103.2	      55.3
	1994	    6	 20	   -73.032	   -81.762	   -86.282	      43.5	      91.8	      51.7
	1994	    6	 28	   -73.332	   -84.244	   -89.102	      49.3	     104.6	       NaN
	1994	    7	  6	   -70.786	   -84.274	   -90.028	      57.3	      95.2	      55.6
	1994	    7	 16	   -74.704	   -87.958	   -92.038	      41.5	      76.7	      62.0
	1994	    7	 26	   -81.314	   -89.346	   -92.030	      37.2	      97.7	      55.9
	1994	    8	  4	   -79.524	   -88.402	   -90.026	      45.5	      93.9	      56.6
	1994	    8	 11	   -79.528	   -89.232	   -89.016	      53.9	      94.8	      56.0
	1994	    8	 18	   -83.454	   -89.456	   -87.932	      36.5	      89.1	      55.5
	1994	    8	 26	   -82.816	   -89.824	   -89.795	      43.1	      98.4	       NaN
	1994	    8	 30	   -84.624	   -91.348	   -91.034	      31.6	      79.0	      65.6
	1994	    9	  2	   -83.052	   -89.316	   -89.056	      44.4	     103.4	      56.0
	1994	    9	  5	   -77.386	   -87.480	   -87.652	      42.1	      59.7	      55.0
	1994	    9	  8	   -80.876	   -88.906	   -87.200	      44.5	      63.0	      54.9
	1994	    9	 11	   -77.480	   -84.846	   -82.112	      41.3	      55.5	      47.1
	1994	    9	 14	   -76.408	   -84.300	   -80.840	      45.8	      41.8	      38.3
	1994	    9	 17	   -81.274	   -85.978	   -80.066	      28.4	      39.2	      37.9
	1994	    9	 20	   -81.160	   -85.370	   -77.170	      27.1	      17.2	      33.7
	1994	    9	 23	   -80.062	   -85.460	   -79.746	      28.6	      11.0	      26.6
	1994	    9	 26	   -78.754	   -84.868	   -72.182	      22.3	       5.7	      33.4
	1994	    9	 29	   -83.658	   -86.490	   -78.414	      18.6	       8.6	      30.1
	1994	   10	  2	   -79.168	   -84.522	   -76.998	      18.2	       3.8	      27.6
	1994	   10	  5	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1994	   10	  5	   -82.080	   -84.676	   -71.820	      12.0	       4.4	      29.2
	1994	   10	  8	   -77.508	   -79.874	   -65.989	      19.7	       2.5	      36.7
	1994	   10	 11	   -76.516	   -80.630	   -66.588	      14.9	       7.2	      32.0
	1994	   10	 14	   -75.360	   -78.036	   -61.632	      13.1	       4.1	      34.6
	1994	   10	 17	   -77.370	   -75.742	   -57.426	      15.9	       6.3	      43.0
	1994	   10	 20	   -73.526	   -69.066	   -48.790	      20.2	      18.3	      53.3
	1994	   10	 23	   -72.988	   -71.616	   -52.306	      18.4	       8.8	      43.7
	1994	   10	 26	   -74.030	   -73.010	   -50.434	      16.6	       8.8	      40.2
	1994	   10	 30	   -76.124	   -73.978	   -52.308	      16.3	       8.4	      38.4
	1994	   11	  1	   -76.992	   -72.814	   -46.386	      16.5	       9.3	      41.4
	1994	   11	  5	   -69.892	   -63.886	   -32.984	      22.5	      14.2	      54.5
	1994	   11	  8	   -69.980	   -62.586	   -35.539	      19.6	      14.9	      54.1
	1994	   11	 11	   -53.850	   -48.004	   -31.416	      18.8	      21.5	      57.7
	1994	   11	 14	   -50.156	   -37.747	   -14.912	      20.9	      22.6	     106.1
	1994	   11	 17	   -64.476	   -47.626	   -24.810	      19.7	      35.3	     107.7
	1994	   11	 23	   -61.610	   -46.430	   -24.114	      22.8	      40.0	      98.5
	1994	   11	 25	   -56.032	   -28.869	   -26.322	      24.7	      75.9	     111.1
	1994	   11	 29	   -44.680	   -33.990	   -29.908	      40.0	      92.7	      86.1
	1994	   12	  7	   -44.078	   -33.950	   -30.616	      36.1	      95.0	      92.5
	1994	   12	 13	   -43.884	   -35.660	   -32.154	      41.3	      86.3	      75.6
	1994	   12	 20	   -42.398	   -33.066	   -29.718	      30.3	      91.2	      76.6
	1994	   12	 27	   -44.326	   -34.908	   -30.078	      33.5	      77.6	      78.1
	1995	    1	  3	   -39.928	   -38.100	   -34.466	      41.6	      76.8	      78.9
	1995	    1	 10	   -31.261	   -24.078	   -15.652	      34.6	      71.6	      74.1
	1995	    1	 17	   -42.852	   -38.182	   -34.736	      38.8	      76.3	      64.9
	1995	    1	 24	   -34.326	   -25.049	   -19.406	      38.3	      74.1	       NaN
	1995	    1	 30	   -43.080	   -40.054	   -37.202	      43.6	      80.4	      74.2
	1995	    2	  8	   -43.171	       NaN	   -36.417	      41.6	       NaN	      74.9
	1995	    2	 14	   -41.670	   -40.333	   -39.264	      44.3	      76.2	      72.4
	1995	    2	 21	   -48.269	   -44.516	   -43.000	      36.7	      75.0	      66.1
	1995	    2	 28	   -47.532	   -45.056	       NaN	      49.9	      93.4	       NaN
	1995	    3	  7	   -47.696	   -48.142	   -47.918	      47.0	      83.0	      71.7
	1995	    3	 14	   -48.380	   -49.873	   -50.894	      39.8	      87.4	      60.5
	1995	    3	 21	   -49.134	   -52.072	   -53.516	      54.4	      87.0	      52.9
	1995	    3	 28	   -47.752	   -51.836	   -55.564	      58.7	      84.2	      70.4
	1995	    4	  5	   -53.664	   -57.906	   -61.180	      45.1	      87.0	      67.6
	1995	    4	 11	   -56.406	   -60.232	   -64.704	      50.1	      99.4	      61.8
	1995	    4	 18	   -55.008	   -61.920	   -65.742	      60.1	      95.2	      50.7
	1995	    4	 25	   -58.188	   -66.216	   -70.776	      38.8	     100.2	      66.0
	1995	    5	  2	   -62.482	   -70.142	   -74.870	      58.3	     101.3	      59.5
	1995	    5	  9	   -62.368	   -72.376	   -77.632	      46.3	      99.2	      58.8
	1995	    5	 16	   -64.798	   -75.170	   -80.148	      55.8	     104.6	      55.4
	1995	    5	 25	   -69.884	   -78.644	   -82.259	      30.9	     100.4	      51.5
	1995	    5	 31	   -65.834	   -78.862	   -83.870	      47.1	      96.2	      52.2
	1995	    6	  6	   -73.166	   -81.880	   -85.074	      47.8	      98.2	      54.1
	1995	    6	 13	   -73.083	   -81.659	   -87.476	       NaN	       NaN	       NaN
	1995	    6	 20	   -74.454	   -84.610	   -86.240	      53.5	     111.9	      50.6
	1995	    6	 28	   -76.022	   -86.966	   -89.931	      44.2	     105.5	      54.1
	1995	    7	  4	   -74.336	   -86.672	   -89.966	      43.2	      97.7	      57.7
	1995	    7	 12	   -76.326	   -87.860	   -89.778	      43.4	     102.0	      57.2
	1995	    7	 19	   -79.838	   -87.610	   -90.972	      32.0	     101.9	      58.0
	1995	    7	 26	   -74.292	   -85.094	   -88.956	      57.1	     102.0	      55.1
	1995	    8	  1	   -79.936	   -88.520	   -91.042	      38.2	      92.0	      54.6
	1995	    8	  8	   -80.412	   -88.434	   -90.280	      43.1	      97.6	      56.1
	1995	    8	 15	   -77.430	   -87.758	   -90.012	      50.0	      92.2	      50.0
	1995	    8	 22	   -80.838	   -88.766	   -89.665	      46.4	      84.3	      53.6
	1995	    8	 28	   -81.049	   -87.056	   -85.694	      41.5	      82.8	      55.8
	1995	    8	 31	   -79.476	   -87.213	   -87.064	      41.5	      66.4	      50.8
	1995	    9	  4	   -78.152	   -86.530	   -85.231	      40.0	      70.5	      53.4
	1995	    9	  7	   -81.966	   -88.238	   -85.698	      33.1	      69.0	      55.8
	1995	    9	 11	   -78.710	   -85.688	   -82.550	      40.9	      69.0	      52.1
	1995	    9	 14	   -78.324	   -84.012	   -78.106	      42.4	      63.2	      51.8
	1995	    9	 18	   -78.830	   -85.400	   -81.620	      32.4	      44.5	      38.9
	1995	    9	 21	   -82.934	   -86.756	   -81.342	      30.3	      40.2	      42.8
	1995	    9	 25	   -80.702	   -85.614	   -79.436	      28.4	       9.4	      30.7
	1995	    9	 28	   -81.350	   -84.338	   -77.488	      23.1	      18.6	      35.5
	1995	   10	  2	   -82.566	   -85.330	   -77.026	      21.9	       7.1	      28.7
	1995	   10	  5	   -79.876	   -84.432	   -75.608	      19.7	       3.1	      28.0
	1995	   10	  7	   -80.394	   -83.998	   -73.890	      18.4	       1.9	      28.6
